datapath_id,version,header_length,tos,total_length,flags,offset,ttl,proto,csum,src_ip,dst_ip,src_port,dst_port,tcp_flag,type_icmp,code_icmp,csum_icmp,port_no,rx_bytes_ave,rx_error_ave,rx_dropped_ave,tx_bytes_ave,tx_error_ave,tx_dropped_ave,label
1,4,5,0,28,0,0,250,1,39353,210.9.75.25,10.0.0.4,0,0,0,8,45,63412,1,42,0,0,117,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,45772,112.166.147.105,10.0.0.4,0,0,0,8,144,63321,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,65278,223.206.216.14,10.0.0.4,0,0,0,8,216,63159,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,5784,213.142.202.181,10.0.0.4,0,0,0,8,110,62941,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,19239,33.214.73.223,10.0.0.4,0,0,0,8,17,63408,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,47993,146.185.104.169,10.0.0.4,0,0,0,8,214,63061,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,17116,171.54.200.201,10.0.0.4,0,0,0,8,83,63402,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,53439,59.35.170.249,10.0.0.4,0,0,0,8,42,63269,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,37148,135.182.158.9,10.0.0.4,0,0,0,8,40,62965,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,1236,162.217.15.47,10.0.0.4,0,0,0,8,229,62792,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,38319,45.179.243.121,10.0.0.4,0,0,0,8,111,63114,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,28808,3.93.66.247,10.0.0.4,0,0,0,8,108,62939,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,46540,131.20.125.251,10.0.0.4,0,0,0,8,85,63186,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,59775,33.177.171.171,10.0.0.4,0,0,0,8,19,63072,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,16736,206.88.167.35,10.0.0.4,0,0,0,8,84,63393,1,42,0,0,117,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,47896,220.205.30.246,10.0.0.4,0,0,0,8,0,63437,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,13948,84.13.44.83,10.0.0.4,0,0,0,8,108,63031,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,63955,63.28.125.236,10.0.0.4,0,0,0,8,31,63158,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,62633,112.150.81.156,10.0.0.4,0,0,0,8,199,63186,1,42,0,0,117,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,19859,54.215.50.114,10.0.0.4,0,0,0,8,170,63237,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,10558,247.21.150.136,10.0.0.4,0,0,0,8,77,63342,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,35156,99.10.202.125,10.0.0.4,0,0,0,8,5,63218,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,3446,129.203.39.155,10.0.0.4,0,0,0,8,93,63012,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,15402,22.76.100.102,10.0.0.4,0,0,0,8,245,62902,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,6414,53.234.103.228,10.0.0.4,0,0,0,8,162,63015,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,10346,238.237.159.132,10.0.0.4,0,0,0,8,165,63082,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,40992,37.224.240.219,10.0.0.4,0,0,0,8,86,63195,1,42,0,0,117,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,22633,187.194.162.176,10.0.0.4,0,0,0,8,78,63001,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,32210,51.210.5.56,10.0.0.4,0,0,0,8,78,63369,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,35268,56.166.244.113,10.0.0.4,0,0,0,8,253,62818,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,51893,204.74.31.220,10.0.0.4,0,0,0,8,85,63126,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,37231,6.102.31.7,10.0.0.4,0,0,0,8,152,63149,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,35706,69.99.229.254,10.0.0.4,0,0,0,8,221,62978,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,51667,124.245.112.19,10.0.0.4,0,0,0,8,118,62869,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,36985,88.100.205.254,10.0.0.4,0,0,0,8,146,63061,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,18277,160.91.207.27,10.0.0.4,0,0,0,8,31,63340,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,28526,104.199.222.166,10.0.0.4,0,0,0,8,160,62941,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,40066,32.133.249.212,10.0.0.4,0,0,0,8,68,63209,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,62480,163.109.31.94,10.0.0.4,0,0,0,8,132,62997,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,58557,25.7.185.23,10.0.0.4,0,0,0,8,135,62842,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,33726,56.247.250.38,10.0.0.4,0,0,0,8,253,62978,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,41127,187.183.90.125,10.0.0.4,0,0,0,8,27,63350,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,41759,112.229.162.215,10.0.0.4,0,0,0,8,39,63356,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,34240,93.105.211.178,10.0.0.4,0,0,0,8,227,63054,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,13035,120.151.11.90,10.0.0.4,0,0,0,8,181,63200,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,31224,110.108.206.119,10.0.0.4,0,0,0,8,117,63136,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,62907,232.73.216.214,10.0.0.4,0,0,0,8,77,62980,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,55081,118.102.105.76,10.0.0.4,0,0,0,8,58,63149,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,16756,195.255.177.104,10.0.0.4,0,0,0,8,108,62903,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,24484,248.216.94.95,10.0.0.4,0,0,0,8,163,63136,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,44021,40.213.226.17,10.0.0.4,0,0,0,8,181,63102,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,63133,122.131.69.187,10.0.0.4,0,0,0,8,203,63276,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,28571,199.219.127.101,10.0.0.4,0,0,0,8,248,63037,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,41489,249.167.27.35,10.0.0.4,0,0,0,8,48,62973,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,62714,148.128.45.97,10.0.0.4,0,0,0,8,117,63324,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,31700,175.213.139.50,10.0.0.4,0,0,0,8,119,63148,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,14975,203.133.176.215,10.0.0.4,0,0,0,8,101,63306,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,61206,148.142.51.55,10.0.0.4,0,0,0,8,88,63261,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,2097,26.14.148.157,10.0.0.4,0,0,0,8,59,63302,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,8957,231.72.172.150,10.0.0.4,0,0,0,8,206,62963,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,23047,106.173.242.39,10.0.0.4,0,0,0,8,208,62907,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,35948,214.180.83.187,10.0.0.4,0,0,0,8,199,63080,1,42,0,0,118,0,0,DDOS_ICMP
